UTC Timestamp (Interval Ending),Local Timestamp Eastern Time (Interval Beginning),Local Timestamp Eastern Time (Interval Ending),Local Date,Hour Number,Connecticut Actual Load (MW),Maine Actual Load (MW),New Hampshire Actual Load (MW),Northeast Massachusetts Actual Load (MW),Rhode Island Actual Load (MW),Southeast Massachusetts Actual Load (MW),Vermont Actual Load (MW),Western/Central Massachusetts Actual Load (MW)
1/6/2024 8:00,1/6/2024 2:00,1/6/2024 3:00,1/6/2024,3,2867.986,1229.984,1142.604,2369.213,763.719,1431.798,588.844,1667.291
1/6/2024 9:00,1/6/2024 3:00,1/6/2024 4:00,1/6/2024,4,2863.245,1208.494,1134.376,2353.079,757.833,1427.83,585.173,1651.554
1/6/2024 10:00,1/6/2024 4:00,1/6/2024 5:00,1/6/2024,5,2895.237,1218.222,1144.866,2365.081,769.604,1443.579,592.701,1663.782
1/6/2024 11:00,1/6/2024 5:00,1/6/2024 6:00,1/6/2024,6,2973.747,1252.931,1180.835,2423.379,791.698,1491.121,608.789,1705.912
1/6/2024 12:00,1/6/2024 6:00,1/6/2024 7:00,1/6/2024,7,3128.673,1327.912,1242.586,2530.212,821.988,1562.317,639.441,1773.254
1/6/2024 13:00,1/6/2024 7:00,1/6/2024 8:00,1/6/2024,8,3281.365,1414.187,1316.783,2636.824,862.681,1638.025,678.849,1852.65
1/6/2024 14:00,1/6/2024 8:00,1/6/2024 9:00,1/6/2024,9,3397.731,1447.431,1383.149,2739.267,878.422,1677.511,711.055,1912.432
1/6/2024 15:00,1/6/2024 9:00,1/6/2024 10:00,1/6/2024,10,3428.256,1434.726,1415.221,2756.118,883.52,1658.429,721.075,1936.431
1/6/2024 16:00,1/6/2024 10:00,1/6/2024 11:00,1/6/2024,11,3456.972,1440.082,1410.167,2761.763,907.569,1661.131,720.436,1942.67
1/6/2024 17:00,1/6/2024 11:00,1/6/2024 12:00,1/6/2024,12,3541.7,1459.521,1445.204,2856.748,926.624,1726.738,727.948,1973.272
1/6/2024 18:00,1/6/2024 12:00,1/6/2024 13:00,1/6/2024,13,3547.421,1502.574,1463.169,2884.387,940.686,1765.191,737.156,2010.444
1/6/2024 19:00,1/6/2024 13:00,1/6/2024 14:00,1/6/2024,14,3456.709,1555.772,1457.418,2899.17,933.332,1775.698,731.721,1996.525
1/6/2024 20:00,1/6/2024 14:00,1/6/2024 15:00,1/6/2024,15,3489.84,1577.329,1461.837,2884.982,907.935,1730.85,713.411,1950.307
1/6/2024 21:00,1/6/2024 15:00,1/6/2024 16:00,1/6/2024,16,3581.799,1604.126,1488.163,2920.312,930.5,1788.837,737.476,2035.756
1/6/2024 22:00,1/6/2024 16:00,1/6/2024 17:00,1/6/2024,17,3748.876,1642.513,1557.66,3034.137,985.988,1908.28,774.276,2139.643
1/6/2024 23:00,1/6/2024 17:00,1/6/2024 18:00,1/6/2024,18,3892,1668.219,1605.596,3103.975,1018.185,1990.373,795.535,2212.423
1/7/2024 0:00,1/6/2024 18:00,1/6/2024 19:00,1/6/2024,19,3857.895,1628.638,1578.292,3081.774,1006.81,1956.164,777.658,2171.108
1/7/2024 1:00,1/6/2024 19:00,1/6/2024 20:00,1/6/2024,20,3763.987,1585.611,1522.6,3011.106,982.803,1880.404,747.732,2106.836
1/7/2024 2:00,1/6/2024 20:00,1/6/2024 21:00,1/6/2024,21,3630.037,1522.467,1468.067,2938.458,952.689,1817.093,718.718,2042.924
1/7/2024 3:00,1/6/2024 21:00,1/6/2024 22:00,1/6/2024,22,3455.512,1447.617,1386.797,2850.128,910.19,1720.825,693.851,1953.113
1/7/2024 4:00,1/6/2024 22:00,1/6/2024 23:00,1/6/2024,23,3244.106,1370.396,1309.21,2709.529,859.069,1598.968,665.225,1846.117
1/7/2024 5:00,1/6/2024 23:00,1/7/2024 0:00,1/6/2024,24,3039.425,1325.098,1233.87,2568.485,810.291,1502.407,626.521,1742.365
1/7/2024 6:00,1/7/2024 0:00,1/7/2024 1:00,1/7/2024,1,2866.755,1279.074,1178.282,2457.942,765.855,1440.421,594.872,1672.248
1/7/2024 7:00,1/7/2024 1:00,1/7/2024 2:00,1/7/2024,2,2750.892,1250.201,1139.714,2386.051,738.369,1382.081,575.452,1609.312
1/7/2024 8:00,1/7/2024 2:00,1/7/2024 3:00,1/7/2024,3,2670.522,1235.076,1125.226,2346.851,720.558,1346.16,569.288,1577.764
1/7/2024 9:00,1/7/2024 3:00,1/7/2024 4:00,1/7/2024,4,2631.792,1238.871,1129.64,2332.413,712.912,1335.528,560.529,1563.082
1/7/2024 10:00,1/7/2024 4:00,1/7/2024 5:00,1/7/2024,5,2640.937,1252.503,1145.222,2326.439,718.266,1342.224,565.997,1571.588
1/7/2024 11:00,1/7/2024 5:00,1/7/2024 6:00,1/7/2024,6,2691.652,1283.852,1177.242,2371.822,735.308,1374.645,582.887,1607.533
1/7/2024 12:00,1/7/2024 6:00,1/7/2024 7:00,1/7/2024,7,2783.919,1345.986,1230.038,2457.075,751.906,1430.502,611.668,1659.369
1/7/2024 13:00,1/7/2024 7:00,1/7/2024 8:00,1/7/2024,8,2901.693,1427.332,1296.333,2549.076,781.885,1506.14,648.001,1739.374
1/7/2024 14:00,1/7/2024 8:00,1/7/2024 9:00,1/7/2024,9,3089.716,1511.572,1384.174,2667.821,830.218,1599.351,692.697,1836.878
1/7/2024 15:00,1/7/2024 9:00,1/7/2024 10:00,1/7/2024,10,3289.696,1596.03,1467.163,2801.892,887.616,1708.821,724.748,1943.87
1/7/2024 16:00,1/7/2024 10:00,1/7/2024 11:00,1/7/2024,11,3444.447,1647.906,1525.401,2906.574,935.691,1779.451,748.993,2042.904
1/7/2024 17:00,1/7/2024 11:00,1/7/2024 12:00,1/7/2024,12,3572.072,1671.29,1575.244,3008.905,971.002,1850.924,765.678,2136.337
1/7/2024 18:00,1/7/2024 12:00,1/7/2024 13:00,1/7/2024,13,3666.828,1697.536,1604.675,3086.548,1000.162,1914.933,770.122,2195.643
1/7/2024 19:00,1/7/2024 13:00,1/7/2024 14:00,1/7/2024,14,3685.17,1693.919,1608.029,3172.408,1018.142,1944.485,763.216,2192.951
1/7/2024 20:00,1/7/2024 14:00,1/7/2024 15:00,1/7/2024,15,3647.444,1695.058,1604.634,3172.65,1026.46,1961.33,755.822,2171.489
1/7/2024 21:00,1/7/2024 15:00,1/7/2024 16:00,1/7/2024,16,3660.859,1689.507,1600.443,3172.807,1022.087,1971.842,752.974,2159.989
1/7/2024 22:00,1/7/2024 16:00,1/7/2024 17:00,1/7/2024,17,3805.493,1735.493,1661.116,3252.069,1057.154,2037.261,778.395,2235.985
1/7/2024 23:00,1/7/2024 17:00,1/7/2024 18:00,1/7/2024,18,4024.869,1764.983,1738.462,3347.497,1104.264,2108.47,819.383,2343.968
1/8/2024 0:00,1/7/2024 18:00,1/7/2024 19:00,1/7/2024,19,3951.172,1718.597,1700.325,3320.801,1089.912,2065.255,805.625,2319.363
1/8/2024 1:00,1/7/2024 19:00,1/7/2024 20:00,1/7/2024,20,3799.47,1656.068,1628.605,3249.517,1052.563,2001.985,775.351,2233.752
1/8/2024 2:00,1/7/2024 20:00,1/7/2024 21:00,1/7/2024,21,3642.113,1570.118,1541.626,3161.058,1011.357,1916.423,737.545,2131.632
1/8/2024 3:00,1/7/2024 21:00,1/7/2024 22:00,1/7/2024,22,3429.839,1466.611,1439.322,3025.381,955.83,1796.476,700.611,2012.363
1/8/2024 4:00,1/7/2024 22:00,1/7/2024 23:00,1/7/2024,23,3170.17,1366.569,1336.589,2828.334,888.421,1668.033,667.389,1878.804
1/8/2024 5:00,1/7/2024 23:00,1/8/2024 0:00,1/7/2024,24,2929.462,1291.093,1248.793,2647.224,829.802,1555.282,630.115,1765.156
1/8/2024 6:00,1/8/2024 0:00,1/8/2024 1:00,1/8/2024,1,2790.361,1273.774,1189.755,2524.402,788.335,1476.337,602.531,1681.568
1/8/2024 7:00,1/8/2024 1:00,1/8/2024 2:00,1/8/2024,2,2710.484,1238.084,1168.412,2449.549,762.686,1433.341,590.953,1638.993
